id;name;simplified_name;simple_screen_name;screen_name;url;followers_count;classification;simple_class
2776912;ONU Mulheres;onu mulheres;ONUMulheresBR;"""ONUMulheresBR""";https://twitter.com/ONUMulheresBR;28753;feminista;F
85998517;Paola Carosella;paola carosella;PaolaCarosella;"""PaolaCarosella""";https://twitter.com/PaolaCarosella;1424511;feminista;F
34661128;PerpÇtua Almeida;perpÇtua almeida;perpetua_acre;"""perpetua_acre""";https://twitter.com/perpetua_acre;17949;feminista;F
68736466;Petra Costa;petra costa;petracostal;"""petracostal""";https://twitter.com/petracostal;204252;feminista;F
41496314;Preta Ijim£;preta ijim£;Nailahnv;"""Nailahnv""";https://twitter.com/Nailahnv;45344;feminista;F
16032776;Preta Nerd;preta nerd;pretaenerd;"""pretaenerd""";https://twitter.com/pretaenerd;4709;feminista;F
78971818;QG feminista;qg feminista;QGfeminista;"""QGfeminista""";https://twitter.com/QGfeminista;11375;feminista;F
42607468;Renata Souza;renata souza;renatasouzario;"""renatasouzario""";https://twitter.com/renatasouzario;38798;feminista;F
35682916;Revista AzMina;revista azmina;revistaazmina;"""revistaazmina""";https://twitter.com/revistaazmina;22397;feminista;F
11955870;Rita Lisaukas;rita lisaukas;RitaLisauskas;"""RitaLisauskas""";https://twitter.com/RitaLisauskas;78499;feminista;F
75603155;Rosa Neide;rosa neide;prof_rosaneide;"""prof_rosaneide""";https://twitter.com/prof_rosaneide;9321;feminista;F
49964943;Rosana Pinheiro-Machado;rosana pinheiro-machado;_pinheira;"""_pinheira""";https://twitter.com/_pinheira;123419;feminista;F
30014316;Sabrina Fernandes;sabrina fernandes;safbf;"""safbf""";https://twitter.com/safbf;192090;feminista;F
9922371;SÉmia Bomfim;sÉmia bomfim;samiabomfim;"""samiabomfim""";https://twitter.com/samiabomfim;333578;feminista;F
73158084;Santuzza;santuzza;santuzza_souza;"""santuzza_souza""";https://twitter.com/santuzza_souza;14464;feminista;F
52775699;Sher Machado;sher machado;transcurecer;"""transcurecer""";https://twitter.com/transcurecer;25063;feminista;F
11041469;Silvia Ferraro;silvia ferraro;silviaferraro_;"""silviaferraro_""";https://twitter.com/silviaferraro_;6348;feminista;F
29013383;SomosTodosfeministas;somostodosfeministas;Todosfeministas;"""Todosfeministas""";https://twitter.com/Todosfeministas;4075;feminista;F
14569423;Sonia Guajajara;sonia guajajara;GuajajaraSonia;"""GuajajaraSonia""";https://twitter.com/GuajajaraSonia;89654;feminista;F
89395489;Stephanie Ribeiro;stephanie ribeiro;RibSte;"""RibSte""";https://twitter.com/RibSte;58696;feminista;F
8856274;Sueli Carneiro;sueli carneiro;SueliCarneiro;"""SueliCarneiro""";https://twitter.com/SueliCarneiro;31020;feminista;F
59103146;Suzane Jardim;suzane jardim;jardim_suzane;"""jardim_suzane""";https://twitter.com/jardim_suzane;18838;feminista;F
95358326;Tal°ria Petrone;tal°ria petrone;taliriapetrone;"""taliriapetrone""";https://twitter.com/taliriapetrone;235902;feminista;F
77159829;Tati Nefertari;tati nefertari;TatiNefertari;"""TatiNefertari""";https://twitter.com/TatiNefertari;67146;feminista;F
95361506;Tatiana Roque;tatiana roque;tatiroque;"""tatiroque""";https://twitter.com/tatiroque;32779;feminista;F
93973788;Tese Onze;tese onze;teseonze;"""teseonze""";https://twitter.com/teseonze;28145;feminista;F
8151172;Thiessa;thiessa;thiessita;"""thiessita""";https://twitter.com/thiessita;24662;feminista;F
93641221;Triscila Oliveira;triscila oliveira;soulanja;"""soulanja""";https://twitter.com/soulanja;9666;feminista;F
28499160;Universidade Livre feminista;universidade livre feminista;Ulivrefeminista;"""Ulivrefeminista""";https://twitter.com/Ulivrefeminista;3416;feminista;F
43628965;Vulva Revoluá∆o;vulva revoluá∆o;vulvarevolucao;"""vulvarevolucao""";https://twitter.com/vulvarevolucao;4174;feminista;F
52351967;Winnie Bueno;winnie bueno;winniebueno;"""winniebueno""";https://twitter.com/winniebueno;128426;feminista;F
97330194;Yasmin Morais;yasmin morais;yasmin__morais;"""yasmin__morais""";https://twitter.com/yasmin__morais;2288;feminista;F
61031605;Abraham Weintraub;abraham weintraub;AbrahamWeint;"""AbrahamWeint""";https://twitter.com/AbrahamWeint;947978;antifeminista;A
79776824;Ailton Benedito;ailton benedito;AiltonBenedito;"""AiltonBenedito""";https://twitter.com/AiltonBenedito;213702;antifeminista;A
39918113;Alà Silva;alà silva;alesilva_38;"""alesilva_38""";https://twitter.com/alesilva_38;124383;antifeminista;A
63829718;Alexandre Aleluia;alexandre aleluia;AlexAleluia;"""AlexAleluia""";https://twitter.com/AlexAleluia;28481;antifeminista;A
92333135;Alexandre Garcia;alexandre garcia;alexandregarcia;"""alexandregarcia""";https://twitter.com/alexandregarcia;2766653;antifeminista;A
4097056;Alianáa pelo Brasil;alianáa pelo brasil;somosalianca;"""somosalianca""";https://twitter.com/somosalianca;291405;antifeminista;A
20863228;Aline Barros;aline barros;alinebarros;"""alinebarros""";https://twitter.com/alinebarros;4788095;antifeminista;A
94609403;Ana Paula Henkel;ana paula henkel;AnaPaulaVolei;"""AnaPaulaVolei""";https://twitter.com/AnaPaulaVolei;697752;antifeminista;A
92137887;Ana Paula Valad∆o Bessa;ana paula valad∆o bessa;anapaulavaladao;"""anapaulavaladao""";https://twitter.com/anapaulavaladao;1551713;antifeminista;A
80176526;AndrÇ Fernandes;andrÇ fernandes;andrefernm;"""andrefernm""";https://twitter.com/andrefernm;158174;antifeminista;A
85411437;AndrÇ Valad∆o;andrÇ valad∆o;andrevaladao;"""andrevaladao""";https://twitter.com/andrevaladao;1277640;antifeminista;A
1948104;Arolde de Oliveira;arolde de oliveira;AroldeOliveira;"""AroldeOliveira""";https://twitter.com/AroldeOliveira;71759;antifeminista;A
66303303;Arthur Weintraub;arthur weintraub;ArthurWeint;"""ArthurWeint""";https://twitter.com/ArthurWeint;546241;antifeminista;A
36892329;Bia Kicis;bia kicis;Biakicis;"""Biakicis""";https://twitter.com/Biakicis;685842;antifeminista;A
73653366;Bibo Nunes;bibo nunes;bibonunes1;"""bibonunes1""";https://twitter.com/bibonunes1;168169;antifeminista;A
85900458;Brasil Paralelo;brasil paralelo;brasil_paralelo;"""brasil_paralelo""";https://twitter.com/brasil_paralelo;211445;antifeminista;A
66386633;Brasil sem aborto;brasil sem aborto;brasilsemaborto;"""brasilsemaborto""";https://twitter.com/brasilsemaborto;4887;antifeminista;A
33540828;Bruna Karla;bruna karla;brunakarlabk;"""brunakarlabk""";https://twitter.com/brunakarlabk;1684929;antifeminista;A
38104827;Bruno Engler;bruno engler;BrunoEnglerDM;"""BrunoEnglerDM""";https://twitter.com/BrunoEnglerDM;31730;antifeminista;A
96954968;Caneta Desesquerdizadora;caneta desesquerdizadora;Desesquerdizada;"""Desesquerdizada""";https://twitter.com/Desesquerdizada;295331;antifeminista;A
67195246;Capit∆o Assumá∆o;capit∆o assumá∆o;capitaoassumcao;"""capitaoassumcao""";https://twitter.com/capitaoassumcao;14369;antifeminista;A
75155558;Capit∆o Derrite;capit∆o derrite;capitaoderrite;"""capitaoderrite""";https://twitter.com/capitaoderrite;123226;antifeminista;A
59744995;Carla Zambelli;carla zambelli;CarlaZambelli38;"""CarlaZambelli38""";https://twitter.com/CarlaZambelli38;1039567;antifeminista;A
21508279;Carlos Bolsonaro;carlos bolsonaro;CarlosBolsonaro;"""CarlosBolsonaro""";https://twitter.com/CarlosBolsonaro;2002607;antifeminista;A
49459781;Carlos Jordy;carlos jordy;carlosjordy;"""carlosjordy""";https://twitter.com/carlosjordy;370582;antifeminista;A
80226624;Carlos Viana;carlos viana;carlosaviana;"""carlosaviana""";https://twitter.com/carlosaviana;40210;antifeminista;A
13911621;Carmelo Neto;carmelo neto;carmelonetobr;"""carmelonetobr""";https://twitter.com/carmelonetobr;120520;antifeminista;A
